Track ID,Track Name,Album Titles,Media Type,Genres
359,Muffin Man,Bongo Fury,MPEG audio file,Rock
419,A Kind Of Magic,Greatest Hits II,MPEG audio file,Rock
420,Under Pressure,Greatest Hits II,MPEG audio file,Rock
421,Radio GA GA,Greatest Hits II,MPEG audio file,Rock
422,I Want It All,Greatest Hits II,MPEG audio file,Rock
423,I Want To Break Free,Greatest Hits II,MPEG audio file,Rock
424,Innuendo,Greatest Hits II,MPEG audio file,Rock
425,It's A Hard Life,Greatest Hits II,MPEG audio file,Rock
426,Breakthru,Greatest Hits II,MPEG audio file,Rock
427,Who Wants To Live Forever,Greatest Hits II,MPEG audio file,Rock
428,Headlong,Greatest Hits II,MPEG audio file,Rock
429,The Miracle,Greatest Hits II,MPEG audio file,Rock
430,I'm Going Slightly Mad,Greatest Hits II,MPEG audio file,Rock
431,The Invisible Man,Greatest Hits II,MPEG audio file,Rock
432,Hammer To Fall,Greatest Hits II,MPEG audio file,Rock
433,Friends Will Be Friends,Greatest Hits II,MPEG audio file,Rock
434,The Show Must Go On,Greatest Hits II,MPEG audio file,Rock
435,One Vision,Greatest Hits II,MPEG audio file,Rock
436,Detroit Rock City,Greatest Kiss,MPEG audio file,Rock
437,Black Diamond,Greatest Kiss,MPEG audio file,Rock
438,Hard Luck Woman,Greatest Kiss,MPEG audio file,Rock
439,Sure Know Something,Greatest Kiss,MPEG audio file,Rock
440,Love Gun,Greatest Kiss,MPEG audio file,Rock
441,Deuce,Greatest Kiss,MPEG audio file,Rock
442,Goin' Blind,Greatest Kiss,MPEG audio file,Rock
443,Shock Me,Greatest Kiss,MPEG audio file,Rock
444,Do You Love Me,Greatest Kiss,MPEG audio file,Rock
445,She,Greatest Kiss,MPEG audio file,Rock
446,I Was Made For Loving You,Greatest Kiss,MPEG audio file,Rock
447,Shout It Out Loud,Greatest Kiss,MPEG audio file,Rock
448,God Of Thunder,Greatest Kiss,MPEG audio file,Rock
449,Calling Dr. Love,Greatest Kiss,MPEG audio file,Rock
450,Beth,Greatest Kiss,MPEG audio file,Rock
451,Strutter,Greatest Kiss,MPEG audio file,Rock
452,Rock And Roll All Nite,Greatest Kiss,MPEG audio file,Rock
453,Cold Gin,Greatest Kiss,MPEG audio file,Rock
454,Plaster Caster,Greatest Kiss,MPEG audio file,Rock
455,God Gave Rock 'n' Roll To You,Greatest Kiss,MPEG audio file,Rock
489,Into The Light,Into The Light,MPEG audio file,Rock
490,River Song,Into The Light,MPEG audio file,Rock
491,She Give Me ...,Into The Light,MPEG audio file,Rock
492,Don't You Cry,Into The Light,MPEG audio file,Rock
493,Love Is Blind,Into The Light,MPEG audio file,Rock
494,Slave,Into The Light,MPEG audio file,Rock
495,Cry For Love,Into The Light,MPEG audio file,Rock
496,Living On Love,Into The Light,MPEG audio file,Rock
497,Midnight Blue,Into The Light,MPEG audio file,Rock
498,Too Many Tears,Into The Light,MPEG audio file,Rock
499,Don't Lie To Me,Into The Light,MPEG audio file,Rock
500,Wherever You May Go,Into The Light,MPEG audio file,Rock
543,Burn,MK III The Final Concerts [Disc 1],MPEG audio file,Rock
544,Stormbringer,MK III The Final Concerts [Disc 1],MPEG audio file,Rock
545,Gypsy,MK III The Final Concerts [Disc 1],MPEG audio file,Rock
546,Lady Double Dealer,MK III The Final Concerts [Disc 1],MPEG audio file,Rock
547,Mistreated,MK III The Final Concerts [Disc 1],MPEG audio file,Rock
548,Smoke On The Water,MK III The Final Concerts [Disc 1],MPEG audio file,Rock
549,You Fool No One,MK III The Final Concerts [Disc 1],MPEG audio file,Rock
550,Custard Pie,Physical Graffiti [Disc 1],MPEG audio file,Rock
551,The Rover,Physical Graffiti [Disc 1],MPEG audio file,Rock
552,In My Time Of Dying,Physical Graffiti [Disc 1],MPEG audio file,Rock
553,Houses Of The Holy,Physical Graffiti [Disc 1],MPEG audio file,Rock
554,Trampled Under Foot,Physical Graffiti [Disc 1],MPEG audio file,Rock
555,Kashmir,Physical Graffiti [Disc 1],MPEG audio file,Rock
570,(Da Le) Yaleo,Supernatural,MPEG audio file,Rock
571,Love Of My Life,Supernatural,MPEG audio file,Rock
572,Put Your Lights On,Supernatural,MPEG audio file,Rock
573,Africa Bamba,Supernatural,MPEG audio file,Rock
574,Smooth,Supernatural,MPEG audio file,Rock
575,Do You Like The Way,Supernatural,MPEG audio file,Rock
576,Maria Maria,Supernatural,MPEG audio file,Rock
577,Migra,Supernatural,MPEG audio file,Rock
578,Corazon Espinado,Supernatural,MPEG audio file,Rock
579,Wishing It Was,Supernatural,MPEG audio file,Rock
580,El Farol,Supernatural,MPEG audio file,Rock
581,Primavera,Supernatural,MPEG audio file,Rock
582,The Calling,Supernatural,MPEG audio file,Rock
620,Space Truckin',The Final Concerts (Disc 2),MPEG audio file,Rock
621,Going Down / Highway Star,The Final Concerts (Disc 2),MPEG audio file,Rock
622,Mistreated (Alternate Version),The Final Concerts (Disc 2),MPEG audio file,Rock
623,You Fool No One (Alternate Version),The Final Concerts (Disc 2),MPEG audio file,Rock
675,Susie Q,"Chronicle, Vol. 1",MPEG audio file,Rock
676,I Put A Spell On You,"Chronicle, Vol. 1",MPEG audio file,Rock
677,Proud Mary,"Chronicle, Vol. 1",MPEG audio file,Rock
678,Bad Moon Rising,"Chronicle, Vol. 1",MPEG audio file,Rock
679,Lodi,"Chronicle, Vol. 1",MPEG audio file,Rock
680,Green River,"Chronicle, Vol. 1",MPEG audio file,Rock
681,Commotion,"Chronicle, Vol. 1",MPEG audio file,Rock
682,Down On The Corner,"Chronicle, Vol. 1",MPEG audio file,Rock
683,Fortunate Son,"Chronicle, Vol. 1",MPEG audio file,Rock
684,Travelin' Band,"Chronicle, Vol. 1",MPEG audio file,Rock
685,Who'll Stop The Rain,"Chronicle, Vol. 1",MPEG audio file,Rock
686,Up Around The Bend,"Chronicle, Vol. 1",MPEG audio file,Rock
687,Run Through The Jungle,"Chronicle, Vol. 1",MPEG audio file,Rock
688,Lookin' Out My Back Door,"Chronicle, Vol. 1",MPEG audio file,Rock
689,Long As I Can See The Light,"Chronicle, Vol. 1",MPEG audio file,Rock
690,I Heard It Through The Grapevine,"Chronicle, Vol. 1",MPEG audio file,Rock
691,Have You Ever Seen The Rain?,"Chronicle, Vol. 1",MPEG audio file,Rock
692,Hey Tonight,"Chronicle, Vol. 1",MPEG audio file,Rock
693,Sweet Hitch-Hiker,"Chronicle, Vol. 1",MPEG audio file,Rock
694,Someday Never Comes,"Chronicle, Vol. 1",MPEG audio file,Rock
695,Walking On The Water,"Chronicle, Vol. 2",MPEG audio file,Rock
696,"Suzie-Q, Pt. 2","Chronicle, Vol. 2",MPEG audio file,Rock
697,Born On The Bayou,"Chronicle, Vol. 2",MPEG audio file,Rock
698,Good Golly Miss Molly,"Chronicle, Vol. 2",MPEG audio file,Rock
699,Tombstone Shadow,"Chronicle, Vol. 2",MPEG audio file,Rock
700,Wrote A Song For Everyone,"Chronicle, Vol. 2",MPEG audio file,Rock
701,Night Time Is The Right Time,"Chronicle, Vol. 2",MPEG audio file,Rock
702,Cotton Fields,"Chronicle, Vol. 2",MPEG audio file,Rock
703,It Came Out Of The Sky,"Chronicle, Vol. 2",MPEG audio file,Rock
704,Don't Look Now,"Chronicle, Vol. 2",MPEG audio file,Rock
705,The Midnight Special,"Chronicle, Vol. 2",MPEG audio file,Rock
706,Before You Accuse Me,"Chronicle, Vol. 2",MPEG audio file,Rock
707,My Baby Left Me,"Chronicle, Vol. 2",MPEG audio file,Rock
708,Pagan Baby,"Chronicle, Vol. 2",MPEG audio file,Rock
709,(Wish I Could) Hideaway,"Chronicle, Vol. 2",MPEG audio file,Rock
710,It's Just A Thought,"Chronicle, Vol. 2",MPEG audio file,Rock
711,Molina,"Chronicle, Vol. 2",MPEG audio file,Rock
712,Born To Move,"Chronicle, Vol. 2",MPEG audio file,Rock
713,Lookin' For A Reason,"Chronicle, Vol. 2",MPEG audio file,Rock
714,Hello Mary Lou,"Chronicle, Vol. 2",MPEG audio file,Rock
745,Comin' Home,Come Taste The Band,MPEG audio file,Rock
746,Lady Luck,Come Taste The Band,MPEG audio file,Rock
747,Gettin' Tighter,Come Taste The Band,MPEG audio file,Rock
748,Dealer,Come Taste The Band,MPEG audio file,Rock
749,I Need Love,Come Taste The Band,MPEG audio file,Rock
750,Drifter,Come Taste The Band,MPEG audio file,Rock
751,Love Child,Come Taste The Band,MPEG audio file,Rock
752,This Time Around / Owed to 'G' [Instrumental],Come Taste The Band,MPEG audio file,Rock
753,You Keep On Moving,Come Taste The Band,MPEG audio file,Rock
754,Speed King,Deep Purple In Rock,MPEG audio file,Rock
755,Bloodsucker,Deep Purple In Rock,MPEG audio file,Rock
756,Child In Time,Deep Purple In Rock,MPEG audio file,Rock
757,Flight Of The Rat,Deep Purple In Rock,MPEG audio file,Rock
758,Into The Fire,Deep Purple In Rock,MPEG audio file,Rock
759,Living Wreck,Deep Purple In Rock,MPEG audio file,Rock
760,Hard Lovin' Man,Deep Purple In Rock,MPEG audio file,Rock
761,Fireball,Fireball,MPEG audio file,Rock
762,No No No,Fireball,MPEG audio file,Rock
763,Strange Kind Of Woman,Fireball,MPEG audio file,Rock
764,Anyone's Daughter,Fireball,MPEG audio file,Rock
765,The Mule,Fireball,MPEG audio file,Rock
766,Fools,Fireball,MPEG audio file,Rock
767,No One Came,Fireball,MPEG audio file,Rock
768,Knocking At Your Back Door,Knocking at Your Back Door: The Best Of Deep Purple in the 80's,MPEG audio file,Rock
769,Bad Attitude,Knocking at Your Back Door: The Best Of Deep Purple in the 80's,MPEG audio file,Rock
770,Child In Time (Son Of Aleric - Instrumental),Knocking at Your Back Door: The Best Of Deep Purple in the 80's,MPEG audio file,Rock
771,Nobody's Home,Knocking at Your Back Door: The Best Of Deep Purple in the 80's,MPEG audio file,Rock
772,Black Night,Knocking at Your Back Door: The Best Of Deep Purple in the 80's,MPEG audio file,Rock
773,Perfect Strangers,Knocking at Your Back Door: The Best Of Deep Purple in the 80's,MPEG audio file,Rock
774,The Unwritten Law,Knocking at Your Back Door: The Best Of Deep Purple in the 80's,MPEG audio file,Rock
775,Call Of The Wild,Knocking at Your Back Door: The Best Of Deep Purple in the 80's,MPEG audio file,Rock
776,Hush,Knocking at Your Back Door: The Best Of Deep Purple in the 80's,MPEG audio file,Rock
777,Smoke On The Water,Knocking at Your Back Door: The Best Of Deep Purple in the 80's,MPEG audio file,Rock
778,Space Trucking,Knocking at Your Back Door: The Best Of Deep Purple in the 80's,MPEG audio file,Rock
779,Highway Star,Machine Head,MPEG audio file,Rock
780,Maybe I'm A Leo,Machine Head,MPEG audio file,Rock
781,Pictures Of Home,Machine Head,MPEG audio file,Rock
782,Never Before,Machine Head,MPEG audio file,Rock
783,Smoke On The Water,Machine Head,MPEG audio file,Rock
784,Lazy,Machine Head,MPEG audio file,Rock
785,Space Truckin',Machine Head,MPEG audio file,Rock
786,Vavoom : Ted The Mechanic,Purpendicular,MPEG audio file,Rock
